url,doubt_withought_tags
marianrocha.com,"['404 Not Found', '404', 'Not Found', 'The resource requested could not be found on this server!', 'Proudly powered by', 'LiteSpeed Web Server', 'Please be advised that LiteSpeed Technologies Inc. is not a web hosting company and, as such, has no control over content found on this site.']"
nimsaystyle.com,"['Suspected phishing site ', ' Cloudflare', 'Please enable cookies.', 'Warning: Suspected Phishing Site Ahead!', 'This link has been flagged as phishing. We suggest you avoid it.', 'What is phishing?', 'This link has been flagged as phishing. Phishing is an attempt to acquire personal information such as passwords and credit card details by pretending to be a trustworthy source.', 'Dismiss this warning and enter site', 'What can I do?', ""If you're a visitor of this website"", 'The website owner has been notified and is in the process of resolving the issue. For now, it is recommended that you do not continue to the link that has been flagged.', ""If you're the owner of this website"", 'Please log in to cloudflare.com to review your flagged website. If you have questions about why this was flagged as phishing please contact the Trust & Safety team for more information.', 'Cloudflare Ray ID:', '6870b26c1e7857f6', '•', 'Your IP', ': 34.235.222.35', '•', 'Performance & security by', 'Cloudflare']"
onlyposse.com,"['404 Not Found', '404', 'Not Found', 'The resource requested could not be found on this server!', 'Proudly powered by', 'LiteSpeed Web Server', 'Please be advised that LiteSpeed Technologies Inc. is not a web hosting company and, as such, has no control over content found on this site.']"
postsfb-1g6qlgv0k.novitium.ca,"['Log into Facebook', 'Please note:', 'You are currently not logged in, please continue with Log in to view the next page!', 'Log In', '©2021 Facebook']"
postsfb-33ctim4e2.novitium.ca,"['Log into Facebook', 'Please note:', 'You are currently not logged in, please continue with Log in to view the next page!', 'Log In', '©2021 Facebook']"
postsfb-3dpmokxl.novitium.ca,"['Log into Facebook', 'Please note:', 'You are currently not logged in, please continue with Log in to view the next page!', 'Log In', '©2021 Facebook']"
postsfb-3hay7avk8t.novitium.ca,"['Log into Facebook', 'Please note:', 'You are currently not logged in, please continue with Log in to view the next page!', 'Log In', '©2021 Facebook']"
postsfb-3yjdhas50.novitium.ca,"['Log into Facebook', 'Please note:', 'You are currently not logged in, please continue with Log in to view the next page!', 'Log In', '©2021 Facebook']"
postsfb-40epe6409.novitium.ca,"['Log into Facebook', 'Please note:', 'You are currently not logged in, please continue with Log in to view the next page!', 'Log In', '©2021 Facebook']"
postsfb-4au6vvyw.novitium.ca,"['Log into Facebook', 'Please note:', 'You are currently not logged in, please continue with Log in to view the next page!', 'Log In', '©2021 Facebook']"
postsfb-4gjjhyy5.novitium.ca,"['Log into Facebook', 'Please note:', 'You are currently not logged in, please continue with Log in to view the next page!', 'Log In', '©2021 Facebook']"
postsfb-53g32i5gn.novitium.ca,"['Log into Facebook', 'Please note:', 'You are currently not logged in, please continue with Log in to view the next page!', 'Log In', '©2021 Facebook']"
postsfb-5e75avirm.novitium.ca,"['Log into Facebook', 'Please note:', 'You are currently not logged in, please continue with Log in to view the next page!', 'Log In', '©2021 Facebook']"
postsfb-bknl7e7qjc.novitium.ca,"['Log into Facebook', 'Please note:', 'You are currently not logged in, please continue with Log in to view the next page!', 'Log In', '©2021 Facebook']"
postsfb-dttqqygc3g.novitium.ca,"['Log into Facebook', 'Please note:', 'You are currently not logged in, please continue with Log in to view the next page!', 'Log In', '©2021 Facebook']"
postsfb-u7yo0bnck.novitium.ca,"['Log into Facebook', 'Please note:', 'You are currently not logged in, please continue with Log in to view the next page!', 'Log In', '©2021 Facebook']"
produccionesjd.com,"['404 Not Found', '404', 'Not Found', 'The resource requested could not be found on this server!', 'Proudly powered by', 'LiteSpeed Web Server', 'Please be advised that LiteSpeed Technologies Inc. is not a web hosting company and, as such, has no control over content found on this site.']"
scratchmr2.xyz,"['Account Suspended', 'Account Suspended', 'This Account has been suspended.', 'Contact your hosting provider', 'for more information.']"
seniorbenefitsgrp.com,"['BT.com Business', 'We’re using cookies to give you the best experience on our site.  By continuing to use our website without', 'changing the settings', ', you are agreeing to our use of cookies.', 'I agree', 'Your cookie settings', 'Cookies are small text files that are stored on your computer when visiting some websites. We use cookies to make our website easier for you to use. You can remove any cookies already stored on your computer, but this may prevent you from using parts or our website.', 'Select an option below to control the cookies types used on bt.com or', 'find out more about cookies', '.', 'Targeting', 'Functional', 'Strictly necessary & performance', 'This site will:', 'Remember what is in your shopping basket', 'Remember your log-in details', 'Make sure your logged in areas are secure', 'Offer live chat support', 'Make sure the website looks consistent', 'Allow you to share pages with social networks', 'Allow you to comment on blogs', 'Send information to other websites so that their advertising is more relevant', 'Remember what is in your shopping basket', 'Remember your log-in details', 'Make sure your logged in areas are secure', 'Offer live chat support', 'Remember what is in your shopping basket', 'This site won’t:', 'No items listed', 'Allow you to share pages with social networks', 'Allow you to comment on blogs', 'Send information to other websites so that their advertising is more relevant', 'Remember your log-in details', 'Allow you to share pages with social networks', 'Allow you to comment on blogs', 'Send information to other websites so that their advertising is more relevant', 'Provide you with live, online chat support', 'Improve overall performance of the website', 'Save settings', 'Skip to main page content', 'BT.com', 'At home', 'Business and Public Sector', 'Global business', 'BT Group', 'Search', 'Search', 'For the home', 'For business and public sector', 'For global business', 'Coronavirus', 'Your business type:', 'Small & medium', 'Small & medium', 'Corporate', 'Large corporate', 'Public sector', 'Products & services', 'Products & services', 'Broadband', 'Broadband', 'Broadband deals', 'BT Halo for business', 'Fibre broadband', 'Full Fibre', 'Broadband only', 'Guest Wi-Fi', 'Smart Hub', '4G Assure', 'BTnet leased line', 'Mobile', 'Mobile', 'Phones', 'SIM-only', 'Tablets', 'Mobile broadband', 'Upgrade mobile', '5+ employees', 'Voice', 'Voice', 'Phone lines & Featureline', 'ISDN', 'Conferencing', 'Business numbers', 'Payphone services', 'Call diversion', 'Phone systems', 'Phone systems', 'On-premises phone systems', 'VoIP phone systems', 'BT Cloud Voice SIP', 'BT One Phone', 'Networking', 'Networking', 'BTnet leased line', 'Ethernet VPN', 'Ethernet Point-to-Point', 'IP Connect', 'Managed WAN', 'IT', 'IT', 'Bring Your Own Device', 'Cloud & Data Centre Solutions', 'Domain registration', 'Business Apps', 'Computing & apps', 'Insights', 'Insights', 'The future of work', 'The future is now', 'Digital transformation', 'Remote working', 'Digital skills', 'Small business support scheme', 'Technology', 'IP technology', '5G', 'Cyber security', 'Events', 'Events', 'Help', 'Help', 'Get help', 'Broadband & internet', 'Phone line & services', 'Office phones & systems', 'Email, computing & hosting', 'Mobile services', 'Billing', 'Get in touch', 'Contact BT Business', 'Moving premises', 'Close an account', 'Tools', ""Self-service with 'My account'"", 'My account', 'Billing & payments', 'Pay bill', 'Report or track a fault', 'Track an order', 'Service status', 'Download the BT Business app', 'Useful links', 'Manage your services', 'Email', 'Manage your services', 'BT Sport for business', 'Find a local sales person', 'Business forum', 'BT for the home', 'Performance results', 'Free support for your business', 'Log in / Register', 'Logout', 'Products & services', 'Insights', 'Help', 'Your business type:', 'Small & medium', 'Small & medium', 'Corporate', 'Large corporate', 'Public sector', 'Log in / Register', 'Log out', 'Broadband', 'Broadband deals', 'BT Halo for business', 'Fibre broadband', 'Full Fibre', 'Broadband only', 'Guest Wi-Fi', 'Smart Hub', '4G Assure', 'BTnet leased line', 'Mobile', 'Phones', 'SIM-only', 'Tablets', 'Mobile broadband', 'Upgrade mobile', '5+ employees', 'Voice', 'Phone lines & Featureline', 'ISDN', 'Conferencing', 'Business numbers', 'Payphone services', 'Call diversion', 'Phone systems', 'On-premises phone systems', 'VoIP phone systems', 'BT Cloud Voice SIP', 'BT One Phone', 'Networking', 'BTnet leased line', 'Ethernet VPN', 'Ethernet Point-to-Point', 'IP Connect', 'Managed WAN', 'IT', 'Bring Your Own Device', 'Cloud & Data Centre Solutions', 'Domain registration', 'Business Apps', 'Computing & apps', 'The future of work', 'The future is now', 'Digital transformation', 'Remote working', 'Digital skills', 'Small business support scheme', 'Technology', 'IP technology', '5G', 'Cyber security', 'Events', 'Get help', 'Broadband & internet', 'Phone line & services', 'Office phones & systems', 'Email, computing & hosting', 'Mobile services', 'Billing', 'Get in touch', 'Contact BT Business', 'Moving premises', 'Close an account', 'Tools', ""Self-service with 'My account'"", 'My account', 'Billing & payments', 'Pay bill', 'Report or track a fault', 'Track an order', 'Service status', 'Download the BT Business App', 'Useful links', 'Email', 'Manage your services', 'BT Sport for business', 'Find a local sales person', 'Business forum', 'BT for the home', 'Performance results', 'Free support for your business', 'Sign in to My account', 'Sign in now', 'Email or username', 'Enter your email address or username', 'Password', 'Enter your password', 'Forgotten your', 'username', 'or', 'password?', 'Register now', 'Register for a free account for online billing, faults, and order tracking.', ""It's easy and only takes a couple of minutes."", 'Register', 'Popular shortcuts', 'Track an order', 'Order reference', 'i', 'Your order reference will look like one of these.', 'VOL012-12345678901', 'Starts with VOL followed by three and eleven numbers', 'Oops. This is a generic error message to tell your something is wrong', 'BOS12345678', 'Starts with BOS followed by eight numbers', 'BTA12345678', 'Starts with BT followed by six to nine characters', 'GBT1234567', 'Starts with GBT followed by five to seven characters', 'ABC123AB', 'Three letters, three numbers and then two letters', 'PXIP123456', 'Starts with PX followed by letters and numbers', 'That looks like a', 'residential', 'order reference rather than a', 'business', 'one.', 'If you want to track a home order, click the button below.', ""Otherwise, please make sure you've got a business reference and try again."", 'I want to track a residential order', '12345-123456', 'Starts with 5 or 6 numbers, followed by 6 numbers', ""It's a little bit too early to track your order yet. We are processing your online\n                                            order and you'll shortly receive an email with an order reference you can use to\n                                            track your order here."", ""We're sorry but you need to use a different order tracker for that reference."", 'Take me to the right order tracker', ""We still haven't found this order."", ""Maybe there's a problem with your order."", 'Do you have any queries?', 'Chat is offline', ""Sorry, we didn't recognise that order reference."", ""Maybe there's a problem with your order. Try contacting support if you still can't\n                                    track your order."", ""Sorry, we didn't recognise that order reference."", ""Maybe there's a problem with your order. Try contacting support if you still can't\n                                    track your order."", 'We’ve got your order request and will be in touch soon to complete your order', 'Postcode', 'Track order', 'Postcode', 'This is part of a larger order', 'Click on the button below to track the parent order', 'Track parent order', '×', 'This is part of a group order', 'Order', 'Track Order', 'belongs to', 'belongs to', 'Group order', 'Track group order', 'Track a fault', 'Enter your fault reference, service ID or phone number', 'Your fault reference number will look like one of these:', 'VOL012-12345678901', 'Starts with VOL followed by three numbers, a dash and eleven numbers', '1-123456789', 'Starts with one number followed by a dash and nine numbers', 'RY0AAJ54/RY0AAJ54A', 'Starts with two letters followed by six or seven alphanumeric.', 'You can also track a recent fault using your Phone Number, BT Cloud Voice Service ID or Broadband Service ID:', '01212345678', 'Enter the number including area code, with no gaps', 'CV12345678', 'Starts with CV followed by eight or nine numbers', 'FBWM1234567', 'Starts with FB followed by two letters and seven numbers', '06212345678', 'Starts with 062 followed by eight numbers', 'The Phone/Broadband/Fault Reference Number you have entered is invalid, please try\n                            again.', 'Track fault', 'Report a fault', 'Phone fault', 'Broadband fault', 'Email fault', 'BT Cloud Voice fault', 'Email login', 'Pay a bill by card', 'Additional accounts detected.', 'We have detected additional accounts have been added since you last viewed your\n        Faults and Orders dashboard. In order to view the dashboard you will need to add\n        the new account(s) in My Permissions.Go to My permissions', '******7257', ""Don't worry, if you don't have the details of these accounts you can still track\n        a fault or order with your fault or order references. If you add all your accounts\n        later the dashboard view will be restored."", '×', 'Contact BT', 'Sitemap', 'Terms of use', 'Code of practice', 'Privacy policy', 'Accessibility services in BT', 'Customer complaint code']"
ulppreciat.club,['']
wishingwell.media,"['BT.com Business', 'We’re using cookies to give you the best experience on our site.  By continuing to use our website without', 'changing the settings', ', you are agreeing to our use of cookies.', 'I agree', 'Your cookie settings', 'Cookies are small text files that are stored on your computer when visiting some websites. We use cookies to make our website easier for you to use. You can remove any cookies already stored on your computer, but this may prevent you from using parts or our website.', 'Select an option below to control the cookies types used on bt.com or', 'find out more about cookies', '.', 'Targeting', 'Functional', 'Strictly necessary & performance', 'This site will:', 'Remember what is in your shopping basket', 'Remember your log-in details', 'Make sure your logged in areas are secure', 'Offer live chat support', 'Make sure the website looks consistent', 'Allow you to share pages with social networks', 'Allow you to comment on blogs', 'Send information to other websites so that their advertising is more relevant', 'Remember what is in your shopping basket', 'Remember your log-in details', 'Make sure your logged in areas are secure', 'Offer live chat support', 'Remember what is in your shopping basket', 'This site won’t:', 'No items listed', 'Allow you to share pages with social networks', 'Allow you to comment on blogs', 'Send information to other websites so that their advertising is more relevant', 'Remember your log-in details', 'Allow you to share pages with social networks', 'Allow you to comment on blogs', 'Send information to other websites so that their advertising is more relevant', 'Provide you with live, online chat support', 'Improve overall performance of the website', 'Save settings', 'Skip to main page content', 'BT.com', 'At home', 'Business and Public Sector', 'Global business', 'BT Group', 'Search', 'Search', 'For the home', 'For business and public sector', 'For global business', 'Coronavirus', 'Your business type:', 'Small & medium', 'Small & medium', 'Corporate', 'Large corporate', 'Public sector', 'Products & services', 'Products & services', 'Broadband', 'Broadband', 'Broadband deals', 'BT Halo for business', 'Fibre broadband', 'Full Fibre', 'Broadband only', 'Guest Wi-Fi', 'Smart Hub', '4G Assure', 'BTnet leased line', 'Mobile', 'Mobile', 'Phones', 'SIM-only', 'Tablets', 'Mobile broadband', 'Upgrade mobile', '5+ employees', 'Voice', 'Voice', 'Phone lines & Featureline', 'ISDN', 'Conferencing', 'Business numbers', 'Payphone services', 'Call diversion', 'Phone systems', 'Phone systems', 'On-premises phone systems', 'VoIP phone systems', 'BT Cloud Voice SIP', 'BT One Phone', 'Networking', 'Networking', 'BTnet leased line', 'Ethernet VPN', 'Ethernet Point-to-Point', 'IP Connect', 'Managed WAN', 'IT', 'IT', 'Bring Your Own Device', 'Cloud & Data Centre Solutions', 'Domain registration', 'Business Apps', 'Computing & apps', 'Insights', 'Insights', 'The future of work', 'The future is now', 'Digital transformation', 'Remote working', 'Digital skills', 'Small business support scheme', 'Technology', 'IP technology', '5G', 'Cyber security', 'Events', 'Events', 'Help', 'Help', 'Get help', 'Broadband & internet', 'Phone line & services', 'Office phones & systems', 'Email, computing & hosting', 'Mobile services', 'Billing', 'Get in touch', 'Contact BT Business', 'Moving premises', 'Close an account', 'Tools', ""Self-service with 'My account'"", 'My account', 'Billing & payments', 'Pay bill', 'Report or track a fault', 'Track an order', 'Service status', 'Download the BT Business app', 'Useful links', 'Manage your services', 'Email', 'Manage your services', 'BT Sport for business', 'Find a local sales person', 'Business forum', 'BT for the home', 'Performance results', 'Free support for your business', 'Log in / Register', 'Logout', 'Products & services', 'Insights', 'Help', 'Your business type:', 'Small & medium', 'Small & medium', 'Corporate', 'Large corporate', 'Public sector', 'Log in / Register', 'Log out', 'Broadband', 'Broadband deals', 'BT Halo for business', 'Fibre broadband', 'Full Fibre', 'Broadband only', 'Guest Wi-Fi', 'Smart Hub', '4G Assure', 'BTnet leased line', 'Mobile', 'Phones', 'SIM-only', 'Tablets', 'Mobile broadband', 'Upgrade mobile', '5+ employees', 'Voice', 'Phone lines & Featureline', 'ISDN', 'Conferencing', 'Business numbers', 'Payphone services', 'Call diversion', 'Phone systems', 'On-premises phone systems', 'VoIP phone systems', 'BT Cloud Voice SIP', 'BT One Phone', 'Networking', 'BTnet leased line', 'Ethernet VPN', 'Ethernet Point-to-Point', 'IP Connect', 'Managed WAN', 'IT', 'Bring Your Own Device', 'Cloud & Data Centre Solutions', 'Domain registration', 'Business Apps', 'Computing & apps', 'The future of work', 'The future is now', 'Digital transformation', 'Remote working', 'Digital skills', 'Small business support scheme', 'Technology', 'IP technology', '5G', 'Cyber security', 'Events', 'Get help', 'Broadband & internet', 'Phone line & services', 'Office phones & systems', 'Email, computing & hosting', 'Mobile services', 'Billing', 'Get in touch', 'Contact BT Business', 'Moving premises', 'Close an account', 'Tools', ""Self-service with 'My account'"", 'My account', 'Billing & payments', 'Pay bill', 'Report or track a fault', 'Track an order', 'Service status', 'Download the BT Business App', 'Useful links', 'Email', 'Manage your services', 'BT Sport for business', 'Find a local sales person', 'Business forum', 'BT for the home', 'Performance results', 'Free support for your business', 'Sign in to My account', 'Sign in now', 'Email or username', 'Enter your email address or username', 'Password', 'Enter your password', 'Forgotten your', 'username', 'or', 'password?', 'Register now', 'Register for a free account for online billing, faults, and order tracking.', ""It's easy and only takes a couple of minutes."", 'Register', 'Popular shortcuts', 'Track an order', 'Order reference', 'i', 'Your order reference will look like one of these.', 'VOL012-12345678901', 'Starts with VOL followed by three and eleven numbers', 'Oops. This is a generic error message to tell your something is wrong', 'BOS12345678', 'Starts with BOS followed by eight numbers', 'BTA12345678', 'Starts with BT followed by six to nine characters', 'GBT1234567', 'Starts with GBT followed by five to seven characters', 'ABC123AB', 'Three letters, three numbers and then two letters', 'PXIP123456', 'Starts with PX followed by letters and numbers', 'That looks like a', 'residential', 'order reference rather than a', 'business', 'one.', 'If you want to track a home order, click the button below.', ""Otherwise, please make sure you've got a business reference and try again."", 'I want to track a residential order', '12345-123456', 'Starts with 5 or 6 numbers, followed by 6 numbers', ""It's a little bit too early to track your order yet. We are processing your online\n                                            order and you'll shortly receive an email with an order reference you can use to\n                                            track your order here."", ""We're sorry but you need to use a different order tracker for that reference."", 'Take me to the right order tracker', ""We still haven't found this order."", ""Maybe there's a problem with your order."", 'Do you have any queries?', 'Chat is offline', ""Sorry, we didn't recognise that order reference."", ""Maybe there's a problem with your order. Try contacting support if you still can't\n                                    track your order."", ""Sorry, we didn't recognise that order reference."", ""Maybe there's a problem with your order. Try contacting support if you still can't\n                                    track your order."", 'We’ve got your order request and will be in touch soon to complete your order', 'Postcode', 'Track order', 'Postcode', 'This is part of a larger order', 'Click on the button below to track the parent order', 'Track parent order', '×', 'This is part of a group order', 'Order', 'Track Order', 'belongs to', 'belongs to', 'Group order', 'Track group order', 'Track a fault', 'Enter your fault reference, service ID or phone number', 'Your fault reference number will look like one of these:', 'VOL012-12345678901', 'Starts with VOL followed by three numbers, a dash and eleven numbers', '1-123456789', 'Starts with one number followed by a dash and nine numbers', 'RY0AAJ54/RY0AAJ54A', 'Starts with two letters followed by six or seven alphanumeric.', 'You can also track a recent fault using your Phone Number, BT Cloud Voice Service ID or Broadband Service ID:', '01212345678', 'Enter the number including area code, with no gaps', 'CV12345678', 'Starts with CV followed by eight or nine numbers', 'FBWM1234567', 'Starts with FB followed by two letters and seven numbers', '06212345678', 'Starts with 062 followed by eight numbers', 'The Phone/Broadband/Fault Reference Number you have entered is invalid, please try\n                            again.', 'Track fault', 'Report a fault', 'Phone fault', 'Broadband fault', 'Email fault', 'BT Cloud Voice fault', 'Email login', 'Pay a bill by card', 'Additional accounts detected.', 'We have detected additional accounts have been added since you last viewed your\n        Faults and Orders dashboard. In order to view the dashboard you will need to add\n        the new account(s) in My Permissions.Go to My permissions', '******7257', ""Don't worry, if you don't have the details of these accounts you can still track\n        a fault or order with your fault or order references. If you add all your accounts\n        later the dashboard view will be restored."", '×', 'Contact BT', 'Sitemap', 'Terms of use', 'Code of practice', 'Privacy policy', 'Accessibility services in BT', 'Customer complaint code']"
www.dotprintables.com,"['404 Not Found', 'Server Error', '404', 'Page Not Found', ""This page either doesn't exist, or it moved somewhere else."", ""That's what you can do"", 'Reload Page', 'Back to Previous Page', 'Home Page']"
104.168.173.244,"['Update Billing Information', 'En', 'Fr', 'Search over 8000 on-demand titles and order the content you want directly to your TV or computer. Sign in to get started.', 'Update Billing Information', 'First Name', 'Last Name', 'Address', 'City', 'Province', '>', 'Alberta', 'British \n                          Columbia', 'Manitoba', 'New Brunswick', 'Newfoundland and \n                          Labrador', 'Northwest \n                          Territories', 'Nova \n                          Scotia', 'Nunavut', 'Ontario', 'Prince Edward \n                          Island', 'Quebec', 'Saskatchewan', 'Yukon', 'Postal Code', 'Phone number', 'Credit Card Information', 'Name on Card', 'Credit Card Number', 'Expiration date', 'Select', '01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12', 'Select', '2019', '2020', '2021', '2022', '2023', '2024', '2025', '2026', '2027', '2028', '2029', '2030', 'Card Security \n      Code', 'Security Information', 'Date of Birth', '- Day -', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '- Month -', 'January', 'Febuary', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December', '- Year -', '2004', '2003', '2002', '2001', '2000', '1999', '1998', '1997', '1996', '1995', '1994', '1993', '1992', '1991', '1990', '1989', '1988', '1987', '1986', '1985', '1984', '1983', '1982', '1981', '1980', '1979', '1978', '1977', '1976', '1975', '1974', '1973', '1972', '1971', '1970', '1969', '1968', '1967', '1966', '1965', '1964', '1963', '1962', '1961', '1960', '1959', '1958', '1957', '1956', '1955', '1954', '1953', '1952', '1951', '1950', '1949', '1948', '1947', '1946', '1945', '1944', '1943', '1942', '1941', '1940', '1939', '1938', '1937', '1936', '1935', '1934', '1933', '1932', '1931', '1930', '1929', '1928', '1927', '1926', '1925', '1924', '1923', '1922', '1921', '1920', '1919', '1918', '1917', '1916', '1915', '1914', '1913', '1912', '1911', '1910', '1909', '1908', '1907', '1906', '1905', '1904', '1903', '1902', '1901', '1900', '', '', '', '', '©', '2021 Shaw Communications. All Rights Reserved.', '©', '2021 Shaw Satellite G.P. All Rights Reserved.', '© Shaw Satellite G.P.,', '2021. Tous droits réservés.']"
104.168.173.248,"['Update Billing Information', 'En', 'Fr', 'Search over 8000 on-demand titles and order the content you want directly to your TV or computer. Sign in to get started.', 'Update Billing Information', 'First Name', 'Last Name', 'Address', 'City', 'Province', '>', 'Alberta', 'British \n                          Columbia', 'Manitoba', 'New Brunswick', 'Newfoundland and \n                          Labrador', 'Northwest \n                          Territories', 'Nova \n                          Scotia', 'Nunavut', 'Ontario', 'Prince Edward \n                          Island', 'Quebec', 'Saskatchewan', 'Yukon', 'Postal Code', 'Phone number', 'Credit Card Information', 'Name on Card', 'Credit Card Number', 'Expiration date', 'Select', '01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12', 'Select', '2019', '2020', '2021', '2022', '2023', '2024', '2025', '2026', '2027', '2028', '2029', '2030', 'Card Security \n      Code', 'Security Information', 'Date of Birth', '- Day -', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '- Month -', 'January', 'Febuary', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December', '- Year -', '2004', '2003', '2002', '2001', '2000', '1999', '1998', '1997', '1996', '1995', '1994', '1993', '1992', '1991', '1990', '1989', '1988', '1987', '1986', '1985', '1984', '1983', '1982', '1981', '1980', '1979', '1978', '1977', '1976', '1975', '1974', '1973', '1972', '1971', '1970', '1969', '1968', '1967', '1966', '1965', '1964', '1963', '1962', '1961', '1960', '1959', '1958', '1957', '1956', '1955', '1954', '1953', '1952', '1951', '1950', '1949', '1948', '1947', '1946', '1945', '1944', '1943', '1942', '1941', '1940', '1939', '1938', '1937', '1936', '1935', '1934', '1933', '1932', '1931', '1930', '1929', '1928', '1927', '1926', '1925', '1924', '1923', '1922', '1921', '1920', '1919', '1918', '1917', '1916', '1915', '1914', '1913', '1912', '1911', '1910', '1909', '1908', '1907', '1906', '1905', '1904', '1903', '1902', '1901', '1900', '', '', '', '', '©', '2021 Shaw Communications. All Rights Reserved.', '©', '2021 Shaw Satellite G.P. All Rights Reserved.', '© Shaw Satellite G.P.,', '2021. Tous droits réservés.']"
119.247.148.254,['']
14724.uk,['']
14725.uk,['']
15926.uk,['']
15927.uk,['']
162.243.27.201,['']
20785097p.rfihub.com,['']
213.168.125.202,"['Outlook', ""To use Outlook, browser settings must allow scripts to run. For information about how to allow scripts, consult the Help for your browser. If your browser doesn't support scripts, you can download"", 'Windows Internet Explorer', 'for access to Outlook.', 'Domain\\user name:', 'Password:', 'Show password', 'sign in', 'Outlook', 'Please enable cookies for this Web site.', 'Cookies are currently disabled by your browser. Outlook requires that cookies be enabled.', 'For information about how to enable cookies, see the Help for your Web browser.', 'retry']"
2mwn3u.cn,['.']
2pg40f5.cn,['.']
44.237.27.194,['']
4zwkx.codesandbox.io,['Sandbox - CodeSandbox']
52.36.36.51,['']
56055ftp.simplyroot.cloud,"['404 Not Found', 'Server Error', '404', 'Page Not Found', ""This page either doesn't exist, or it moved somewhere else."", ""That's what you can do"", 'Reload Page', 'Back to Previous Page', 'Home Page']"
62.38.17.55,"['Kerio Connect Client', 'JavaScript is disabled in your browser.', 'Kerio Connect Client', 'Integration with device']"
